strategy,feature,auc,auc_lift,direction,positive_median,background_median,positive_count,background_count
T5/S09,adx_14_dmp_14,0.9529759482720924,0.4529759482720924,high,37.70144596942723,20.04311689384041,67,143017
T5/S09,rsi_14,0.9488784810990532,0.44887848109905315,high,74.79298359266608,50.383062423229006,67,143017
T5/S09,adx_14_dmn_14,0.05444807260675305,0.4455519273932469,low,7.112243064151889,20.46856285372,67,143017
T5/S09,wma_8_minus_wma_21,0.9450872342712701,0.44508723427127006,high,2.9513492063490503,0.021942640692600435,67,143010
T5/S09,wma_21_slope_4,0.9437294249839429,0.44372942498394286,high,2.38787878787889,0.017316017315920362,67,143006
T5/S09,cmo_21,0.942129307590807,0.44212930759080704,high,54.77815699658346,0.6678383128297216,67,143009
T5/S09,ema_21_slope_4,0.9416551982684788,0.44165519826847877,high,2.0428750654759824,0.021794443012367992,67,143006
T5/S09,adx_21_dmp_21,0.9410484811102867,0.4410484811102867,high,33.69332849798934,20.228808673153605,67,143010
T5/S09,adx_7_dmn_7,0.059937232118855314,0.44006276788114473,low,3.116124484938081,19.801692832076434,67,143024
T5/S09,hma_32_slope_4,0.939769823734862,0.43976982373486195,high,3.3548787878787607,0.021023989898822038,67,142991
T5/S09,sma_8_minus_sma_21,0.937914215371642,0.437914215371642,high,3.6925595238096776,0.029404761904743282,67,143010
T5/S09,chop_14,0.0626430275205613,0.4373569724794387,low,31.535461838853458,50.45846272833577,67,143016
T5/S09,adx_7_dmp_7,0.937216882919556,0.43721688291955596,high,42.711033289277324,19.410186494491732,67,143024
T5/S09,rsi_21,0.9361201648564395,0.43612016485643945,high,70.48465046002529,50.337998763850514,67,143010
T5/S09,close_minus_sma_21,0.9360184080645649,0.43601840806456493,high,6.689047619047642,0.05285714285707854,67,143010
T5/S09,ema_8_minus_ema_21,0.9355471436607605,0.4355471436607605,high,2.941620280859752,0.033855447434802954,67,143010
T5/S09,ema_8_slope_4,0.9328069655289513,0.43280696552895126,high,3.00486588152512,0.021204063762979786,67,143019
T5/S09,rsi_8,0.930719211115298,0.430719211115298,high,80.82988964152189,50.446881553646826,67,143023
T5/S09,sma_8_slope_4,0.9305439847100995,0.43054398471009947,high,2.931250000000091,0.019999999999754436,67,143019
T5/S09,cci_34,0.9293467068873902,0.4293467068873902,high,190.49600159038917,4.828200440638357,67,142997
T5/S09,close_minus_wma_50,0.9291219885493605,0.42912198854936046,high,7.524266666666563,0.08946666666702185,67,142981
T5/S09,aroon_14_aroonosc_14,0.9290124828951399,0.42901248289513993,high,92.85714285714286,7.142857142857139,67,143016
T5/S09,close_minus_ema_21,0.9287799517203159,0.4287799517203159,high,5.487109221923674,0.05451149413590883,67,143010
T5/S09,roc_10,0.9265656405429155,0.42656564054291546,high,0.5115637704250304,0.0037900508979282384,67,143020
T5/S09,chop_21,0.0745047044842079,0.4254952955157921,low,33.317715688413074,50.04805927130752,67,143009
T5/S09,ao,0.9251622437752842,0.4251622437752842,high,6.207117647058794,0.07597058823535008,67,142997
T5/S09,bbands_34_bbp_34_2_0,0.9249212930988324,0.4249212930988324,high,1.0545282819161037,0.5138873555804644,67,142997
T5/S09,roc_20,0.9246002001738737,0.4246002001738737,high,0.6285161744022562,0.005585532729695519,67,143010
T5/S09,close_minus_wma_21,0.9227513575399695,0.4227513575399695,high,4.926926406926441,0.039220779220840996,67,143010
T5/S09,mom_10,0.9212995990540933,0.4212995990540933,high,7.419999999999845,0.05999999999994543,67,143020
T5/S09,wma_8_slope_4,0.920254828890807,0.420254828890807,high,3.213611111111277,0.018333333333430346,67,143019
T5/S09,mom_20,0.9183415312779506,0.4183415312779506,high,9.25,0.08999999999991815,67,143010
T5/S09,adx_21_dmn_21,0.08533835959702223,0.4146616404029778,low,10.36112679354882,20.725480862703208,67,143010
T5/S09,close_minus_sma_50,0.9140347632035861,0.4140347632035861,high,8.690200000000004,0.12000000000011823,67,142981
T5/S09,sma_21_slope_4,0.9115094012337651,0.4115094012337651,high,1.7033333333336032,0.01761904761929145,67,143006
T5/S09,wma_50_slope_4,0.9092398119768559,0.4092398119768559,high,1.3011372549021871,0.017662745098050436,67,142977
T5/S10,fisher_9,0.8509221650468984,0.35092216504689844,high,2.738010904797312,0.05099691157393532,104,142985
